ITEM_NO,COMPANY,Station_Series_ID,DynamicStartFt,DynamicEndFt,TestStartDateTime
2602,Great Lakes Gas Transmission,106200,273771.1192,274653.4322,1968-09-14 14:15:00
2602,Great Lakes Gas Transmission,106200,274653.4322,283277.995,1968-09-14 14:15:00
2609,Great Lakes Gas Transmission,106300,345771.49,347285.6928,1968-10-02 20:30:00
2609,Great Lakes Gas Transmission,106300,347285.6928,349081.8181,1968-10-02 20:30:00
2602,Great Lakes Gas Transmission,106300,283277.9958,293950,1968-09-14 14:15:00
2603,Great Lakes Gas Transmission,106300,293950,298633.4093,1968-09-07 08:10:00
2603,Great Lakes Gas Transmission,106300,298633.4093,300573.2518,1968-09-07 08:10:00
2603,Great Lakes Gas Transmission,106300,300573.2518,301104.6035,1968-09-07 08:10:00
2603,Great Lakes Gas Transmission,106300,301104.6035,303276.4276,1968-09-07 08:10:00
2603,Great Lakes Gas Transmission,106300,303276.4276,312833,1968-09-07 08:10:00
2604,Great Lakes Gas Transmission,106300,312833,313716.4276,1968-09-18 15:52:00
2604,Great Lakes Gas Transmission,106300,313716.4276,317904.6954,1968-09-18 15:52:00
2604,Great Lakes Gas Transmission,106300,317904.6954,318338.4683,1968-09-18 15:52:00
2604,Great Lakes Gas Transmission,106300,318338.4683,319996.4113,1968-09-18 15:52:00
2604,Great Lakes Gas Transmission,106300,319996.4113,320239.5707,1968-09-18 15:52:00
2604,Great Lakes Gas Transmission,106300,320239.5707,322425,1968-09-18 15:52:00
2605,Great Lakes Gas Transmission,106300,324274.4099,326383,1968-09-19 21:50:00
2605,Great Lakes Gas Transmission,106300,322425,322687.4054,1968-09-19 21:50:00
2605,Great Lakes Gas Transmission,106300,322687.4054,323346.0471,1968-09-19 21:50:00
2605,Great Lakes Gas Transmission,106300,323346.0471,324274.4099,1968-09-19 21:50:00
2606,Great Lakes Gas Transmission,106300,326383,330141,1968-09-25 20:55:00
2607,Great Lakes Gas Transmission,106300,330141,339660,1968-09-24 23:30:00
2608,Great Lakes Gas Transmission,106300,339660,342936.8673,1968-10-03 23:15:00
2608,Great Lakes Gas Transmission,106300,342936.8673,344126,1968-10-03 23:15:00
2609,Great Lakes Gas Transmission,106300,344126,345771.49,1968-10-02 20:30:00
2609,Great Lakes Gas Transmission,106300,349081.8181,349409,1968-10-02 20:30:00
2610,Great Lakes Gas Transmission,106300,349409,377923,1968-09-30 14:26:00
2611,Great Lakes Gas Transmission,106300,377923,378810,1968-10-25 13:48:00
2611,Great Lakes Gas Transmission,107000,0,261,1968-10-25 13:48:00
2613,Great Lakes Gas Transmission,107000,38815,90702.99883,1968-10-16 10:25:00
3116,Great Lakes Gas Transmission,107000,261,38815,1968-10-25 13:10:00
2614,Great Lakes Gas Transmission,107100,149915.0298,152978.1892,1968-10-08 18:15:00
2613,Great Lakes Gas Transmission,107100,90702.999,98550,1968-10-16 10:25:00
2614,Great Lakes Gas Transmission,107100,98550,149915.0298,1968-10-08 18:15:00
2614,Great Lakes Gas Transmission,107100,152978.1892,180598.996,1968-10-08 18:15:00
2614,Great Lakes Gas Transmission,107200,180598.9963,278618.2255,1968-10-08 18:15:00
2614,Great Lakes Gas Transmission,107200,278618.2255,282170.5319,1968-10-08 18:15:00
2614,Great Lakes Gas Transmission,107200,282170.5319,282526.988,1968-10-08 18:15:00
2614,Great Lakes Gas Transmission,107300,282526.9886,282555,1968-10-08 18:15:00
2615,Great Lakes Gas Transmission,107300,282555,325414.5182,1968-10-14 04:15:00
2615,Great Lakes Gas Transmission,107300,325414.5182,325859,1968-10-14 04:15:00
2616,Great Lakes Gas Transmission,107300,325859,329649.1344,1968-10-18 21:55:00
2616,Great Lakes Gas Transmission,107300,329649.1344,330456.677,1968-10-18 21:55:00
2616,Great Lakes Gas Transmission,107300,330456.677,332425,1968-10-18 21:55:00
2617,Great Lakes Gas Transmission,107300,332425,332614.7807,1968-10-18 14:50:00
2617,Great Lakes Gas Transmission,107300,332614.7807,365644,1968-10-18 14:50:00
2618,Great Lakes Gas Transmission,107300,365644,376977,1968-10-21 01:30:00
2619,Great Lakes Gas Transmission,107300,376977,377517.9993,1968-09-28 13:10:00
2620,Great Lakes Gas Transmission,108000,23016.36486,23591.20738,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,23591.20738,24125.49872,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,24125.49872,26544.74414,1968-10-18 19:00:00
2625,Great Lakes Gas Transmission,108000,23016.36486,23591.20738,2002-05-02 20:45:00
2625,Great Lakes Gas Transmission,108000,23591.20738,24125.49872,2002-05-02 20:45:00
2625,Great Lakes Gas Transmission,108000,24125.49872,24623,2002-05-02 20:45:00
2626,Great Lakes Gas Transmission,108000,24600,26544.74414,2002-05-02 03:07:00
2620,Great Lakes Gas Transmission,108000,27788.46461,28065.44624,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,28065.44624,30077.50005,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,30077.50005,30315.19033,1968-10-18 19:00:00
2626,Great Lakes Gas Transmission,108000,27788.46461,28065.44624,2002-05-02 03:07:00
2626,Great Lakes Gas Transmission,108000,28065.44624,30077.50005,2002-05-02 03:07:00
2626,Great Lakes Gas Transmission,108000,30077.50005,30315.19033,2002-05-02 03:07:00
2620,Great Lakes Gas Transmission,108000,19712.0768,20813.28087,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,20813.28087,21540.59386,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,21540.59386,21994.48494,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,21994.48494,22641.8045,1968-10-18 19:00:00
2623,Great Lakes Gas Transmission,108000,19712.0768,20813.28087,2002-05-14 22:12:00
2623,Great Lakes Gas Transmission,108000,20813.28087,21540.59386,2002-05-14 22:12:00
2623,Great Lakes Gas Transmission,108000,21540.59386,21994.48494,2002-05-14 22:12:00
2623,Great Lakes Gas Transmission,108000,21994.48494,22641.8045,2002-05-14 22:12:00
2633,Great Lakes Gas Transmission,108000,62700.22319,63421.52569,2002-04-17 14:02:00
2633,Great Lakes Gas Transmission,108000,63421.52569,63736.86689,2002-04-17 14:02:00
2633,Great Lakes Gas Transmission,108000,63736.86689,65217.32949,2002-04-17 14:02:00
2630,Great Lakes Gas Transmission,108000,62700.22319,63421.52569,1968-10-20 05:30:00
2630,Great Lakes Gas Transmission,108000,63421.52569,63736.86689,1968-10-20 05:30:00
2630,Great Lakes Gas Transmission,108000,63736.86689,65217.32949,1968-10-20 05:30:00
2619,Great Lakes Gas Transmission,108000,0,281,1968-09-28 13:10:00
2620,Great Lakes Gas Transmission,108000,281,19712.0768,1968-10-18 19:00:00
2621,Great Lakes Gas Transmission,108000,281,3735,2002-05-15 12:23:00
2622,Great Lakes Gas Transmission,108000,3725,8519,2002-05-15 16:06:00
2623,Great Lakes Gas Transmission,108000,8509,19712.0768,2002-05-14 22:12:00
2620,Great Lakes Gas Transmission,108000,22641.8045,23016.36486,1968-10-18 19:00:00
2625,Great Lakes Gas Transmission,108000,22699,23016.36486,2002-05-02 20:45:00
2623,Great Lakes Gas Transmission,108000,22641.8045,22707,2002-05-14 22:12:00
2620,Great Lakes Gas Transmission,108000,26544.74414,27017.89374,1968-10-18 19:00:00
2620,Great Lakes Gas Transmission,108000,27017.89374,27788.46461,1968-10-18 19:00:00
